Name,Exp,Pred
MOL001,-8.943,-9.407
MOL002,-7.666,-6.899
MOL003,-9.698,-10.217
MOL004,-7.380,-7.328
MOL005,-8.868,-9.689
MOL006,-10.009,-9.708
MOL007,-8.988,-9.278
MOL008,-11.114,-9.449
MOL009,-12.353,-9.412
MOL010,-9.232,-9.166
MOL011,-9.557,-8.968
MOL012,-9.821,-10.759
MOL013,-10.217,-8.831
MOL014,-9.893,-8.292
MOL015,-8.284,-7.075
MOL016,-10.538,-9.443
MOL017,-9.514,-9.407
MOL018,-10.367,-8.908
MOL019,-9.317,-9.756
MOL020,-10.459,-9.950
MOL021,-9.166,-10.780
MOL022,-9.407,-10.529
MOL023,-11.043,-10.664
MOL024,-11.527,-10.251
MOL025,-7.794,-7.899
MOL026,-11.394,-10.388
MOL027,-8.193,-6.563
MOL028,-9.186,-9.357
MOL029,-11.285,-9.856
MOL030,-7.955,-7.136
MOL031,-9.691,-9.821
MOL032,-9.933,-9.752
MOL033,-10.021,-10.493
MOL034,-10.700,-10.780
MOL035,-11.043,-9.399
MOL036,-8.339,-8.967
MOL037,-10.139,-9.905
MOL038,-9.407,-9.513
MOL039,-8.629,-9.014
MOL040,-7.372,-9.269
MOL041,-8.179,-6.753
MOL042,-10.664,-10.411
MOL043,-9.964,-11.527
MOL044,-10.411,-10.106
MOL045,-5.878,-8.361
MOL046,-9.903,-10.484
MOL047,-7.394,-8.466
MOL048,-8.395,-7.388
MOL049,-7.472,-8.481
MOL050,-7.321,-10.641
MOL051,-9.264,-8.659
MOL052,-9.796,-9.947
MOL053,-9.328,-8.112
MOL054,-9.399,-8.634
MOL055,-9.254,-10.009
MOL056,-9.602,-10.021
MOL057,-9.632,-9.487
MOL058,-10.084,-10.475
